# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,PodGeom,0,DSWBYXDYZT,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,19,9
# x,y,z,u,w
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.000000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
2.043895747599450974e-01, 0.000000000000000000e+00, 1.896662094192957948e-01, 1.111111111111111049e-01, 0.000000000000000000e+00
2.043895747599450974e-01, 1.340879661911136278e-01, 1.340879661911136278e-01, 1.111111111111111049e-01, 5.000000000000000000e-01
2.043895747599450974e-01, 1.896662094192957948e-01, 0.000000000000000000e+00, 1.111111111111111049e-01, 1.000000000000000000e+00
2.043895747599450974e-01, 1.340879661911136278e-01, -1.340879661911136278e-01, 1.111111111111111049e-01, 1.500000000000000000e+00
2.043895747599450974e-01, 0.000000000000000000e+00, -1.896662094192957948e-01, 1.111111111111111049e-01, 2.000000000000000000e+00
2.043895747599450974e-01, -1.340879661911136278e-01, -1.340879661911136278e-01, 1.111111111111111049e-01, 2.500000000000000000e+00
2.043895747599450974e-01, -1.896662094192957948e-01, 0.000000000000000000e+00, 1.111111111111111049e-01, 3.000000000000000000e+00
2.043895747599450974e-01, -1.340879661911136278e-01, 1.340879661911136278e-01, 1.111111111111111049e-01, 3.500000000000000000e+00
2.043895747599450974e-01, 0.000000000000000000e+00, 1.896662094192957948e-01, 1.111111111111111049e-01, 4.000000000000000000e+00
4.869684499314129167e-01, 0.000000000000000000e+00, 3.395518975765888792e-01, 2.222222222222222099e-01, 0.000000000000000000e+00
4.869684499314129167e-01, 2.400523714887198290e-01, 2.400523714887198290e-01, 2.222222222222222099e-01, 5.000000000000000000e-01
4.869684499314129167e-01, 3.395518975765888792e-01, 0.000000000000000000e+00, 2.222222222222222099e-01, 1.000000000000000000e+00
4.869684499314129167e-01, 2.400523714887198290e-01, -2.400523714887198290e-01, 2.222222222222222099e-01, 1.500000000000000000e+00
4.869684499314129167e-01, 0.000000000000000000e+00, -3.395518975765888792e-01, 2.222222222222222099e-01, 2.000000000000000000e+00
4.869684499314129167e-01, -2.400523714887198290e-01, -2.400523714887198290e-01, 2.222222222222222099e-01, 2.500000000000000000e+00
4.869684499314129167e-01, -3.395518975765888792e-01, 0.000000000000000000e+00, 2.222222222222222099e-01, 3.000000000000000000e+00
